,BusDesc,B1_PER_SUB_TYPE,DBA,Business_Location,add,add_num,street,new_name,alcohol
0,CLOTHING STORE,Retail Trade,RADBIRD LLC,"2938 DOMINGO AVE
BERKELEY, CA 94705
(37.858326993, -122.244123007)",2938 DOMINGO AVE,2938,DOMINGOAVE,RADBIRDLLC,False
1,CATERING,Retail Trade,LA CREPE A MOI,"2432 NINTH ST
BERKELEY, CA 94710
(37.861198004, -122.292466975)",2432 NINTH ST,2432,NINTHST,LACREPEAMOI,False
3,CANNABIS DISPENSARY - MEDICAL,Cannabis,THE APOTHECARIUM,"2312 TELEGRAPH AVE
BERKELEY, CA 94704
(37.868276019, -122.259375976)",2312 TELEGRAPH AVE,2312,TELEGRAPHAVE,THEAPOTHECARIUM,False
4,MASSAGE THERAPY,Massage,PAPEN GINA,"2337 PARKER ST 12
BERKELEY, CA 94704
(37.863221019, -122.261126033)",2337 PARKER ST 12,2337,PARKERST,PAPENGINA,False
6,AUTOMOTIVE REPAIR,Business Personal Repair Svs,AVS SPECIALISTS,"2210 SAN PABLO AVE
BERKELEY, CA 94702
(37.86591601, -122.291499033)",2210 SAN PABLO AVE,2210,SANPABLOAVE,AVSSPECIALISTS,False
7,SERVICE STATION,Retail Trade,BRIDGEWAY SERVICE INC,"3009 ASHBY AVE
BERKELEY, CA 94705
(37.858295016, -122.244736982)",3009 ASHBY AVE,3009,ASHBYAVE,BRIDGEWAYSERVICE,False
9,RENTAL PROPERTY,Rental of Real Property,ADELI PROPERTIES,"1964 SAN PABLO AVE
BERKELEY, CA 94702
(37.869700984, -122.292651964)",1964 SAN PABLO AVE,1964,SANPABLOAVE,ADELIPROPERTIES,False
10,FRISBIE GOLF EQUIPTMENT SALES,Retail Trade,AIRWARE,"1638 JOSEPHINE ST
BERKELEY, CA 94703
(37.876262003, -122.274943014)",1638 JOSEPHINE ST,1638,JOSEPHINEST,AIRWARE,False
11,QUICK FOOD SERVICE,Retail Trade,DIGAME FOODS LLC,"1974 SHATTUCK AVE
BERKELEY, CA 94704
(37.872626017, -122.268802012)",1974 SHATTUCK AVE,1974,SHATTUCKAVE,DIGAMEFOODSLLC,False
12,FLOWER SHOP,Retail Trade,CAMPUS FLOWERS,"2532 DURANT AVE
BERKELEY, CA 94704
(37.867780983, -122.257434978)",2532 DURANT AVE,2532,DURANTAVE,CAMPUSFLOWERS,False
13,"BAGELS, DRINKS, AND COFFEE",Retail Trade,BERKELEY BAGELS,"1281 GILMAN ST
BERKELEY, CA 94706
(37.881699008, -122.290346018)",1281 GILMAN ST,1281,GILMANST,BERKELEYBAGELS,False
14,COFFEE SHOP,Retail Trade,PHILZ COFFEE INC,"BERKELEY, CA 94710
(37.8688863, -122.2968579)","BERKELEY, CA 94710","BERKELEY,","BERKELEY,CA",PHILZCOFFEE,False
17,ARTISAN BREAD BAKERY,Retail Trade,MORELLS BREAD,"2701 EIGHTH ST 114
BERKELEY, CA 94710
(37.85698702, -122.291515964)",2701 EIGHTH ST 114,2701,EIGHTHST,MORELLSBREAD,False
18,RESTAURANT,Retail Trade,IPPUKU,"2128 CENTER ST
BERKELEY, CA 94704
(37.870170999, -122.267054972)",2128 CENTER ST,2128,CENTERST,IPPUKU,True
20,ELECTRICAL CONTRACTOR,Construction or Contractor,OAKLAND ELECTRIC INC,"1334 SIXTH ST
BERKELEY, CA 94710
(37.878052, -122.301288006)",1334 SIXTH ST,1334,SIXTHST,OAKLANDELECTRIC,False
22,TATTOO,Professional SemiProfessional,WAR HORSE TATTOO LLC,"2599 TELEGRAPH AVE
BERKELEY, CA 94704
(37.863461998, -122.258406022)",2599 TELEGRAPH AVE,2599,TELEGRAPHAVE,WARHORSETATTOOLLC,False
27,RESTAURANT,Retail Trade,TOMATE CAFE INC,"2265 FIFTH ST
BERKELEY, CA 94710
(37.863542003, -122.297095965)",2265 FIFTH ST,2265,FIFTHST,TOMATECAFE,True
28,INTERIOR DESIGN,Professional SemiProfessional,DANA DESIGN STUDIO LLC,"2727 STUART ST
BERKELEY, CA 94705
(37.860141004, -122.251961009)",2727 STUART ST,2727,STUARTST,DANADESIGNSTUDIOLLC,False
29,RESTAURANT,Retail Trade,FREEHOUSE,"2700 BANCROFT WAY 1
BERKELEY, CA 94704
(37.868952019, -122.254183973)",2700 BANCROFT WAY 1,2700,BANCROFTWAY,FREEHOUSE,True
30,JEWELRY DESIGN,Professional SemiProfessional,DAKOTAH DESIGNS,"3041 HALCYON CT
BERKELEY, CA 94705
(37.854564985, -122.260761001)",3041 HALCYON CT,3041,HALCYONCT,DAKOTAHDESIGNS,False
33,RETAIL ART STUDIO,Retail Trade,ADLER HAROLD,"2905 SHATTUCK AVE
BERKELEY, CA 94705
(37.856428995, -122.266357011)",2905 SHATTUCK AVE,2905,SHATTUCKAVE,ADLERHAROLD,False
34,PUBLISHER - BOOKS,Manufacturing,SLG BOOKS,"1978 HOPKINS ST
BERKELEY, CA 94707
(37.887856019, -122.272694987)",1978 HOPKINS ST,1978,HOPKINSST,SLGBOOKS,False
36,RESTAURANT,Retail Trade,GILMAN GRILL,"1300 FOURTH ST
BERKELEY, CA 94710
(37.878277012, -122.303542989)",1300 FOURTH ST,1300,FOURTHST,GILMANGRILL,False
38,LIGHT MFG- DISTILLED SPIRITS,Manufacturing,MOSSWOOD DISTILLERS INC,"2619 SEVENTH ST
BERKELEY, CA 94710
(37.857828018, -122.29297299)",2619 SEVENTH ST,2619,SEVENTHST,MOSSWOODDISTILLERS,False
40,RENTAL PROPERTY/6 UNITS,Rental of Real Property,DANIELS CLARKE G/MARIA G,"2522 HILGARD AVE
BERKELEY, CA 94709
(37.878515016, -122.260531002)",2522 HILGARD AVE,2522,HILGARDAVE,DANIELSCLARKEGMARIAG,False
41,COMPUTER HARDWARE SOFTWARE SALES,Retail Trade,THUNDERWARE INC,"2417 FOURTH ST
BERKELEY, CA 94710
(37.860739011, -122.297351026)",2417 FOURTH ST,2417,FOURTHST,THUNDERWARE,False
48,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,DRONKERS FAMILY TRUST,"2 TUNNEL RD
BERKELEY, CA 94705
(37.85781599, -122.243493023)",2 TUNNEL RD,2,TUNNELRD,DRONKERSFAMILYTRUST,False
49,MUSIC PUBLISHER,Entertainment Recreation,MAINSPRING WATCHWORKS MUSIC,"1815 STUART ST
BERKELEY, CA 94703
(37.858030986, -122.27251704)",1815 STUART ST,1815,STUARTST,MAINSPRINGWATCHWORKSMUSIC,False
51,FOOTBALL PARKING,Non Profit Organizations,CHURCH DIVINITY SCHOOL PACIFIC,"2451 RIDGE RD CDSP
BERKELEY, CA 94709
(37.876388988, -122.261207002)",2451 RIDGE RD CDSP,2451,RIDGERDCDSP,CHURCHDIVINITYSCHOOLPACIFIC,False
53,RENTAL PROPERTY,Rental of Real Property,1804 EUCLID LLC,"1804 EUCLID AVE
BERKELEY, CA 94709
(37.875811014, -122.260581964)",1804 EUCLID AVE,1804,EUCLIDAVE,1804EUCLIDLLC,False
54,HAIR STYLIST - RENTING A CHAIR,Business Personal Repair Svs,ANDRONACO ELIZABETH,"2980 COLLEGE AVE 2A
BERKELEY, CA 94705
(37.856533014, -122.253351986)",2980 COLLEGE AVE 2A,2980,COLLEGEAVEA,ANDRONACOELIZABETH,False
59,COMMERICAL RENTAL - STORE (1),Rental of Real Property,O'HAY PHILIP/BARBARA,"1824 UNIVERSITY AVE
BERKELEY, CA 94703
(37.871146988, -122.274007007)",1824 UNIVERSITY AVE,1824,UNIVERSITYAVE,OHAYPHILIPBARBARA,False
60,RESIDENTIAL RENTAL PROPERTY,Rental of Real Property,2610 REGENT STREET LLC,"2610 REGENT ST
BERKELEY, CA 94704
(37.862919982, -122.257967983)",2610 REGENT ST,2610,REGENTST,2610REGENTSTREETLLC,False
61,COOPERATIVE FACILITATION CONSULTANT,Professional SemiProfessional,SASSY FACILITATION,"1643 PRINCE ST
BERKELEY, CA 94703
(37.85221998, -122.274688036)",1643 PRINCE ST,1643,PRINCEST,SASSYFACILITATION,False
64,STRATEGY & BUSINESS CONSULTING,Professional SemiProfessional,SILVER HILL PARTNERS LLC,"171 VICENTE RD
BERKELEY, CA 94705
(37.856471994, -122.235614034)",171 VICENTE RD,171,VICENTERD,SILVERHILLPARTNERSLLC,False
65,SOFTWARE DEVELOPMENT,Professional SemiProfessional,CITYGOVAPP INC,"2411 ROOSEVELT AVE
BERKELEY, CA 94703
(37.864357018, -122.275359008)",2411 ROOSEVELT AVE,2411,ROOSEVELTAVE,CITYGOVAPP,False
66,RESEARCH & DEVELOPMENT OF COMPUTER HARDWARE SYSTEMS,Professional SemiProfessional,RIGETTI QUANTUM COMPUTING,"775 HEINZ AVE
BERKELEY, CA 94710
(37.853593984, -122.293781006)",775 HEINZ AVE,775,HEINZAVE,RIGETTIQUANTUMCOMPUTING,False
67,TREE SERVICE,Construction or Contractor,RELIABLE TREE EXPERTS INC,"2207 SAN PABLO AVE
BERKELEY, CA 94702
(37.866275947, -122.291076861)",2207 SAN PABLO AVE,2207,SANPABLOAVE,RELIABLETREEEXPERTS,False
68,THERAPY OUTPAITEN,Non Profit Organizations,BERKELEY THERAPY INSTITUTE INC,"1749 M L KING JR WAY
BERKELEY, CA 94709
(37.874400005, -122.273147023)",1749 M L KING JR WAY,1749,MLKINGJRWAY,BERKELEYTHERAPYINSTITUTE,False
73,METALSMITH TRAINING PROGRAM,Non Profit Organizations,WE WIELD THE HAMMER,"2440 DURANT AVE
BERKELEY, CA 94704
(37.867191987, -122.260135963)",2440 DURANT AVE,2440,DURANTAVE,WEWIELDTHEHAMMER,False
76,RENTAL PROPERTY,Rental of Real Property,CHON SEAN,"1269 ALCATRAZ AVE
BERKELEY, OR 94702
(37.847682982, -122.281991021)",1269 ALCATRAZ AVE,1269,ALCATRAZAVE,CHONSEAN,False
77,MULTIFAMILY RESIDENTIAL REAL ESTATE,Rental of Real Property,"BERKELEY VQOF II SPE, LLC","2033 BLAKE ST
BERKELEY, CA 94704
(37.863227012, -122.268314018)",2033 BLAKE ST,2033,BLAKEST,BERKELEYVQOFIISPELLC,False
78,CLEAN HIGH-PROTEIN DOG FOOD,Manufacturing,WILD EARTH INC,"2865 SEVENTH ST B
BERKELEY, CA 94710
(37.853332007, -122.291377998)",2865 SEVENTH ST B,2865,SEVENTHSTB,WILDEARTH,False
84,RESIDENTIAL RENTAL PROP - 10 UNITS,Rental of Real Property,CHEN HUMPHREY & WONG BONITA,"2112 ROOSEVELT AVE
BERKELEY, CA 94703
(37.869585984, -122.276570025)",2112 ROOSEVELT AVE,2112,ROOSEVELTAVE,CHENHUMPHREYWONGBONITA,False
85,RESIDENTIAL RENTAL - 5 UNITS (1-OWNER OCC),Rental of Real Property,TSAI KEVIN / SONG JULIA X,"1308 HOPKINS ST
BERKELEY, CA 94702
(37.878026016, -122.288020962)",1308 HOPKINS ST,1308,HOPKINSST,TSAIKEVINSONGJULIAX,False
86,RENTAL PROPERTY - COMMERCIAL,Rental of Real Property,THE MARK AT BERKELEY LLC,"2580 BANCROFT WAY
BERKELEY, GA 94704
(37.868633004, -122.257660032)",2580 BANCROFT WAY,2580,BANCROFTWAY,THEMARKATBERKELEYLLC,False
87,TECHNOLOGY CONSULTING,Professional SemiProfessional,THE BUILD TANK LLC,"1442 WALNUT ST A
BERKELEY, CA 94709
(37.880570007, -122.26840404)",1442 WALNUT ST A,1442,WALNUTSTA,THEBUILDTANKLLC,False
88,SOFTWARE DEVELOPMENT & CONSULTING,Professional SemiProfessional,BLAID LLC,"2572 SACRAMENTO ST
BERKELEY, CA 94702
(37.861055009, -122.28093004)",2572 SACRAMENTO ST,2572,SACRAMENTOST,BLAIDLLC,False
89,STUDENT HOUSING @2315 COLLEGE AVE,Rental of Real Property,BREIT SH BERKELEY LLC,"2700 BANCROFT WAY
BERKELEY, CA 94704
(37.868952019, -122.254183973)",2700 BANCROFT WAY,2700,BANCROFTWAY,BREITSHBERKELEYLLC,False
90,TECHNOLOGY RESALE,Retail Trade,ASYNCHRONOUS TECHNOLOGY SERVICES INC,"2040 BANCROFT WAY 301
BERKELEY, CA 94704
(37.867470016, -122.268296192)",2040 BANCROFT WAY 301,2040,BANCROFTWAY,ASYNCHRONOUSTECHNOLOGYSERVICES,False
92,CONSULTING SERVICES,Professional SemiProfessional,BELLEVIEW CONSULTING LLC,"1639 CARLETON ST
BERKELEY, CA 94703
(37.860294016, -122.276481009)",1639 CARLETON ST,1639,CARLETONST,BELLEVIEWCONSULTINGLLC,False
93,RESIDENTIAL RENTAL - 33 UNITS,Rental of Real Property,ROYSTON APARTMENTS LP,"2601 CHANNING WAY
BERKELEY, CA 94704
(37.86749801, -122.256319012)",2601 CHANNING WAY,2601,CHANNINGWAY,ROYSTONAPARTMENTSLP,False
97,CUTTING HAIR,Business Personal Repair Svs,THE FINEST STYLES BARBERSHOP,"1906 UNIVERSITY AVE
BERKELEY, CA 94704
(37.871302011, -122.27274201)",1906 UNIVERSITY AVE,1906,UNIVERSITYAVE,THEFINESTSTYLESBARBERSHOP,False
100,LANGUAGE SCHOOL,Professional SemiProfessional,CENTRO LATINO,"2530 SAN PABLO AVE E
BERKELEY, CA 94702
(37.860005008, -122.28964001)",2530 SAN PABLO AVE E,2530,SANPABLOAVEE,CENTROLATINO,False
101,COMMERCIAL RENTAL PROPERTY,Rental of Real Property,PENA JORGE,"1103 ADDISON ST
BERKELEY, CA 94702
(37.868338003, -122.291520993)",1103 ADDISON ST,1103,ADDISONST,PENAJORGE,False
102,HOME OFFICE (NON-PROFIT),Non Profit Organizations,PEACE CAMP,"1606 BONITA AVE
BERKELEY, CA 94709
(37.877509984, -122.272790038)",1606 BONITA AVE,1606,BONITAAVE,PEACECAMP,False
103,COMMERCIAL RENTAL,Rental of Real Property,EXBERLIN LLC,"2051 SAN PABLO AVE
BERKELEY, CA 94702
(37.868432006, -122.291564998)",2051 SAN PABLO AVE,2051,SANPABLOAVE,EXBERLINLLC,False
104,LAB SUPPLIES,Manufacturing,LEVGO INC,"1805 M L KING JR WAY
BERKELEY, CA 94709
(37.874069003, -122.273088015)",1805 M L KING JR WAY,1805,MLKINGJRWAY,LEVGO,False
105,CLINICAL PSYCHOLOGIST/NEUROPSYCHOLOGIST,Professional SemiProfessional,SANDRA CHIAO PHD,"120 BROOKSIDE DR
BERKELEY, CA 94705
(37.853737985, -122.249409977)",120 BROOKSIDE DR,120,BROOKSIDEDR,SANDRACHIAOPHD,False
107,RENTAL PROPERTY 3 UNITS,Rental of Real Property,RAWSON DELMAR LEON,"1512 OXFORD ST
BERKELEY, CA 94709
(37.879782989, -122.267227975)",1512 OXFORD ST,1512,OXFORDST,RAWSONDELMARLEON,False
109,RESIDENTIAL RENTAL 7,Rental of Real Property,HORT SAM BATH HING M,"1911 ASHBY AVE
BERKELEY, CA 94703
(37.854563015, -122.270785003)",1911 ASHBY AVE,1911,ASHBYAVE,HORTSAMBATHHINGM,False
110,RESIDENTIAL PROPERTY,Rental of Real Property,LEVANDA BOAZ,"2208 MCGEE AVE
BERKELEY, CA 94703
(37.86772998, -122.277577027)",2208 MCGEE AVE,2208,MCGEEAVE,LEVANDABOAZ,False
111,CONSERVATION EDUCATION,Non Profit Organizations,GOLDEN GATE BIRD ALLIANCE,"2150 ALLSTON WAY 210
BERKELEY, CA 94704
(37.869156999, -122.26652599)",2150 ALLSTON WAY 210,2150,ALLSTONWAY,GOLDENGATEBIRDALLIANCE,False
112,CLOTHING (ART),Retail Trade,HAUPTLI ELLEN,"1030 COLUSA AVE
BERKELEY, CA 94707
(37.887871986, -122.278805982)",1030 COLUSA AVE,1030,COLUSAAVE,HAUPTLIELLEN,False
113,RENTAL PROPERTY,Rental of Real Property,LAM NORMAN & YVONNE,"1511 STUART ST
BERKELEY, CA 94703
(37.857228, -122.279360025)",1511 STUART ST,1511,STUARTST,LAMNORMANYVONNE,False
116,BATH LINENS,Wholesale Trade,TURKISH TOWEL CLASSIC TEXTILE LLC,"803 DELAWARE ST
BERKELEY, CA 94710
(37.870404016, -122.299102006)",803 DELAWARE ST,803,DELAWAREST,TURKISHTOWELCLASSICTEXTILELLC,False
119,GRAPHIC DESIGN,Professional SemiProfessional,LAURA MYERS DESIGN,"1003 SIERRA ST
BERKELEY, CA 94707
(37.888653012, -122.280156977)",1003 SIERRA ST,1003,SIERRAST,LAURAMYERSDESIGN,False
120,RESIDENTIAL RENTAL 3 UNITS,Rental of Real Property,WELSH DAVID P,"1940 HEARST AVE
BERKELEY, CA 94709
(37.873398996, -122.271216001)",1940 HEARST AVE,1940,HEARSTAVE,WELSHDAVIDP,False
121,ATTORNEY,Professional SemiProfessional,LAW OFFICES OF ELIZABETH GROSSMAN,"1010 GRAYSON ST
BERKELEY, CA 94710
(37.855706014, -122.289619978)",1010 GRAYSON ST,1010,GRAYSONST,LAWOFFICESOFELIZABETHGROSSMAN,False
124,RENTAL PROPERTY/11 UNITS,Rental of Real Property,"HAMILTON, TAMRA","2627 CALIFORNIA ST
BERKELEY, CA 94703
(37.859702002, -122.277817001)",2627 CALIFORNIA ST,2627,CALIFORNIAST,HAMILTONTAMRA,False
125,COMMERICAL RENTAL PROPERTY,Rental of Real Property,"ADELINE STUDIOS, LLC","2750 ADELINE ST
BERKELEY, CA 94703
(37.858533984, -122.268172029)",2750 ADELINE ST,2750,ADELINEST,ADELINESTUDIOSLLC,False
126,URBAN & REGIONAL ECONOMIC CONSULTING,Professional SemiProfessional,HERMAN AMY,"2239 OREGON ST
BERKELEY, CA 94705
(37.858398993, -122.262425983)",2239 OREGON ST,2239,OREGONST,HERMANAMY,False
128,OFFICE BLDG/STORE,Rental of Real Property,PETERSON MARION M,"2551 SAN PABLO AVE
BERKELEY, CA 94702
(37.860128012, -122.28875002)",2551 SAN PABLO AVE,2551,SANPABLOAVE,PETERSONMARIONM,False
130,RENTAL PROPERTY,Rental of Real Property,APTE MICHAEL SCHULZ URSULA,"1628 WALNUT ST
BERKELEY, CA 94709
(37.877496992, -122.268153002)",1628 WALNUT ST,1628,WALNUTST,APTEMICHAELSCHULZURSULA,False
131,RENTAL PROP-COMM & RES,Rental of Real Property,MLK BUILDING,"1806 M L KING JR WAY
BERKELEY, CA 94709
(37.87392802, -122.27353301)",1806 M L KING JR WAY,1806,MLKINGJRWAY,MLKBUILDING,False
133,RESIDENTIAL RENTAL PROPERTY - 10 UNITS,Rental of Real Property,1739 LINCOLN STREET LLC,"1739 LINCOLN ST
BERKELEY, CA 94703
(37.876873001, -122.276419989)",1739 LINCOLN ST,1739,LINCOLNST,1739LOLNSTREETLLC,False
138,CATERING AND PRODUCTION,Retail Trade,JESSICA LASKY CATERING,"1209 SIXTH ST
BERKELEY, CA 94710
(37.88090302, -122.301446005)",1209 SIXTH ST,1209,SIXTHST,JESSICALASKYCATERING,False
139,PARENT ACCOMPANIED MUSIC CLASS,Professional SemiProfessional,JON'S SCHOOL OF MUSIC,"1790 SHATTUCK AVE
BERKELEY, CA 94709
(37.875027013, -122.269039975)",1790 SHATTUCK AVE,1790,SHATTUCKAVE,JONSSCHOOLOFMUSIC,False
140,EYEBROW THREADING,Business Personal Repair Svs,STYLE EYEBROW THREADING,"2008 KALA BAGAI WAY
BERKELEY, CA 94704
(37.871066207, -122.267717357)",2008 KALA BAGAI WAY,2008,KALABAGAIWAY,STYLEEYEBROWTHREADING,False
141,GENERAL OFFICE USE,Professional SemiProfessional,BEARS WHO CODE LLC,"1385 SHATTUCK AVE C
BERKELEY, CA 94709
(37.88232698, -122.269255976)",1385 SHATTUCK AVE C,1385,SHATTUCKAVEC,BEARSWHOCODELLC,False
142,RESIDENTIAL RENTAL 3 UNITS,Rental of Real Property,LEIBOWITZ STANLEY,"1604 GRANT ST
BERKELEY, CA 94703
(37.877162009, -122.276212034)",1604 GRANT ST,1604,GRANTST,LEIBOWITZSTANLEY,False
143,MARKETING CONSULTANT,Professional SemiProfessional,LABTOOLS,"836 VIRGINIA ST
BERKELEY, CA 94710
(37.872278, -122.298481996)",836 VIRGINIA ST,836,VIRGINIAST,LABTOOLS,False
146,NAIL SALON,Business Personal Repair Svs,LE PETIT NAIL SPA,"1770 SOLANO AVE
BERKELEY, CA 94707
(37.89109399, -122.280526032)",1770 SOLANO AVE,1770,SOLANOAVE,LEPETITNAILSPA,False
147,THAI RESTAURANT,Retail Trade,THAI CORNER BERKELEY,"1277 GILMAN ST
BERKELEY, CA 94706
(37.881729015, -122.290462024)",1277 GILMAN ST,1277,GILMANST,THAICORNERBERKELEY,True
148,RESIDENTIAL RENTAL PROPERTY TRIPLEX,Rental of Real Property,CHIANG HOWARD & CHU YUN-CHING,"1605 CARLETON ST
BERKELEY, CA 94703
(37.860250011, -122.277923032)",1605 CARLETON ST,1605,CARLETONST,CHIANGHOWARDCHUYUNCHING,False
150,CONSULTATION - PSYCHOLOGIST,Professional SemiProfessional,LULI EMMONS PHD,"5 ACACIA AVE
BERKELEY, CA 94708
(37.90077601, -122.268865966)",5 ACACIA AVE,5,ACACIAAVE,LULIEMMONSPHD,False
151,FREELANCE ILLUSTRATOR & GRAPHIC DESIGNER,Professional SemiProfessional,RUBINSTEIN TESS,"1945 FRANCISCO ST
BERKELEY, CA 94709
(37.875543003, -122.271484976)",1945 FRANCISCO ST,1945,FRANCISCOST,RUBINSTEINTESS,False
153,RESIDENTIAL RENTAL 4 UNITS,Rental of Real Property,MAYERI D & SPILLMAN J,"1329 SHATTUCK AVE
BERKELEY, CA 94709
(37.882894016, -122.269421016)",1329 SHATTUCK AVE,1329,SHATTUCKAVE,MAYERIDSPILLMANJ,False
154,DENTAL OFFICE,Professional SemiProfessional,RAHMATIAN AMIRALI DDS INC,"2999 REGENT ST 502
BERKELEY, CA 94705
(37.85596799, -122.256260003)",2999 REGENT ST 502,2999,REGENTST,RAHMATIANAMIRALIDDS,False
155,HAIR STYLIST,Business Personal Repair Svs,ERICKSON MISHELL,"1700 SHATTUCK AVE
BERKELEY, CA 94709
(37.876403992, -122.269262011)",1700 SHATTUCK AVE,1700,SHATTUCKAVE,ERICKSONMISHELL,False
157,PSYCHIATRY PRACTICE,Professional SemiProfessional,PRECISION PSYCHIATRY INC,"1476 GREENWOOD TER
BERKELEY, CA 94708
(37.882362016, -122.25948603)",1476 GREENWOOD TER,1476,GREENWOODTER,PRECISIONPSYCHIATRY,False
159,HAIR SALON,Business Personal Repair Svs,GENTLE HAIR CUTS,"2043 UNIVERSITY AVE
BERKELEY, CA 94704
(37.872280012, -122.269550013)",2043 UNIVERSITY AVE,2043,UNIVERSITYAVE,GENTLEHAIRCUTS,False
160,RENTAL PROPERTY - RES,Rental of Real Property,HAAG CINDY,"3024 FULTON ST
BERKELEY, CA 94705
(37.854719003, -122.263616967)",3024 FULTON ST,3024,FULTONST,HAAGCINDY,False
161,BIOTECHNOLOGY RES & DEV,Professional SemiProfessional,LYGOS INC,"1249 EIGHTH ST
BERKELEY, CA 94710
(37.879789211, -122.299108858)",1249 EIGHTH ST,1249,EIGHTHST,LYGOS,False
162,FIRM OFFERING FINANCIAL SERVICES & INVESTMENTS,Professional SemiProfessional,HFG ADVISORS INC,"2936 DOMINGO AVE
BERKELEY, WA 94705
(37.858326993, -122.244123007)",2936 DOMINGO AVE,2936,DOMINGOAVE,HFGADVISORS,False
163,CONSULTING,Professional SemiProfessional,TAD INTERNATIONAL LLC,"2039 SHATTUCK AVE 505
BERKELEY, CA 94704
(37.871441989, -122.267445988)",2039 SHATTUCK AVE 505,2039,SHATTUCKAVE,TADINTERNATIONALLLC,False
164,LAW PRACTICE,Professional SemiProfessional,NASTICH LAW A PROFESSIONAL CORPORATION,"2341 DERBY ST
BERKELEY, CA 94705
(37.861397996, -122.260504012)",2341 DERBY ST,2341,DERBYST,NASTICHLAWAPROFESSIONALCORPORATION,False
165,RESTAURANT,Retail Trade,VENUS,"1889 SOLANO AVE
BERKELEY, CA 94707
(37.891698996, -122.277638969)",1889 SOLANO AVE,1889,SOLANOAVE,VENUS,True
168,NONPROFIT LAW FIRM,Non Profit Organizations,DISABILITY RIGHTS ADVOCATES,"2001 CENTER ST
BERKELEY, CA 94704
(37.87023202, -122.270344031)",2001 CENTER ST,2001,CENTERST,DISABILITYRIGHTSADVOCATES,False
169,COMPUTER CONSULTING DESKTOP PUB,Business Personal Repair Svs,KATO BRYAN,"15 VIRGINIA GARDENS
BERKELEY, CA 94702
(37.875289995, -122.286972973)",15 VIRGINIA GARDENS,15,VIRGINIAGARDENS,KATOBRYAN,False
171,BOOK STORE,Retail Trade,MOES BOOKS INC,"2476 TELEGRAPH AVE
BERKELEY, CA 94704
(37.865498004, -122.258812963)",2476 TELEGRAPH AVE,2476,TELEGRAPHAVE,MOESBOOKS,False
172,RES RENTAL PROPERTY - 5 UNITS,Rental of Real Property,YOUNG STEVEN R & AKIKO N,"1729 M L KING JR WAY
BERKELEY, CA 94709
(37.874998012, -122.273193962)",1729 M L KING JR WAY,1729,MLKINGJRWAY,YOUNGSTEVENRAKIKON,False
173,STATIONARY & CRAFTS & HOBBY SUPPLIES - ONLINE,Retail Trade,EVERYDAY EXPLORERS CO,"2437 EIGHTH ST E
BERKELEY, CA 94710
(37.860941015, -122.292838042)",2437 EIGHTH ST E,2437,EIGHTHSTE,EVERYDAYEXPLORERSCO,False
175,RES RENTAL PROPERTY - 3 UNITS,Rental of Real Property,LY REUBEN,"2122 NINTH ST
BERKELEY, CA 94710
(37.866495996, -122.29401704)",2122 NINTH ST,2122,NINTHST,LYREUBEN,False
176,FRATERNITY NON-PROFIT,Non Profit Organizations,CALIFORNIA ALUMNI OF D.K.E.,"2302 PIEDMONT AVE
BERKELEY, CA 94704
(37.869305987, -122.252663999)",2302 PIEDMONT AVE,2302,PIEDMONTAVE,CALIFORNIAALUMNIOFDKE,False
177,RESIDENTIAL RENTAL - 3 UNITS,Rental of Real Property,NING PAN,"1231 BURNETT ST
BERKELEY, CA 94702
(37.853469009, -122.285504966)",1231 BURNETT ST,1231,BURNETTST,NINGPAN,False
179,REAL ESTATE DEVELOPMENT,Professional SemiProfessional,FIRST GEN LLC,"805 JONES ST
BERKELEY, CA 94710
(37.875335006, -122.300818033)",805 JONES ST,805,JONESST,FIRSTGENLLC,False
181,COMMERCIAL REAL ESTATE RENTAL,Rental of Real Property,1207 TENTH STREET LLC,"1207 TENTH ST
BERKELEY, CA 94710
(37.881540003, -122.29712396)",1207 TENTH ST,1207,TENTHST,1207TENTHSTREETLLC,False
183,ART SUPPLIES,Retail Trade,BLICK ART MATERIALS LLC,"1360 TENTH ST
BERKELEY, IL 94710
(37.878872052, -122.296609081)",1360 TENTH ST,1360,TENTHST,BLICKARTMATERIALSLLC,False
185,RENTAL PROPERTY-4 UNITS,Rental of Real Property,SAMA FAMILY TRUST,"1259 CARRISON ST
BERKELEY, CA 94702
(37.852125013, -122.283860018)",1259 CARRISON ST,1259,CARRISONST,SAMAFAMILYTRUST,False
187,COMMERCIAL RENTAL,Rental of Real Property,MACMILLAN LOU,"831 GILMAN ST
BERKELEY, CA 94710
(37.879666019, -122.301191027)",831 GILMAN ST,831,GILMANST,MACMILLANLOU,False
190,GENERAL CONTRACTORS,Construction or Contractor,O C JONES & SONS INC,"1520 FOURTH ST
BERKELEY, CA 94710
(37.874123989, -122.30254898)",1520 FOURTH ST,1520,FOURTHST,OCJONESSONS,False
192,MORTGAGE LENDING SERVICES & RELATED OFFICE USE,Professional SemiProfessional,CROSSCOUNTRY MORTGAGE LLC,"1647 HOPKINS ST
BERKELEY, OH 94707
(37.882535019, -122.280673972)",1647 HOPKINS ST,1647,HOPKINSST,CROSSCOUNTRYMORTGAGELLC,False
