"License Number","Status","License Type","Orig. Iss. Date","Expir. Date","Primary Owner","Premises Addr.","Business Name","Geo Code"
"537237","ACTIVE","48","11/10/2014","10/31/2024","BRICK HAT LLC","2271 SHATTUCK AVE,BERKELEY, CA  94704-1432Census Tract:  4229.02","TUPPER & REED","0103"
"537702","ACTIVE","47","05/13/2014","04/30/2025","RANGOON SUPER STARS, LLC","2826 TELEGRAPH AVE,BERKELEY, CA  94705-1163Census Tract:  4236.01","ROYAL RANGOON","0103"
"538849","ACTIVE","41","02/24/2014","09/30/2024","TOMATE CAFE, INC.","2265 5TH ST,BERKELEY, CA  94710-2216Census Tract:  4220.00","TOMATE CAFE","0103"
"539193","ACTIVE","47","01/09/2014","01/31/2025","YU HWANG CORPORATION","2190 BANCROFT WY,BERKELEY, CA  94704-1422Census Tract:  4229.01","GREAT CHINA RESTAURANT","0103"
"541409","SUSPEN","47","05/07/2014","04/30/2025","TOWNIE LLC","1799 UNIVERSITY AVE,BERKELEY, CA  94703Census Tract:  4223.00","TOWNIE","0103"
"541431","ACTIVE","47","04/25/2014","03/31/2025","FACULTY CLUB OF THE UNIVERSITY OF CALIFORNIA","UC BERKELEY, ONE FACULTY CLUB 6050,BERKELEY, CA  94720-0001Census Tract:  4226.00","FACULTY CLUB AT UC BERKELEY","0103"
"541431","ACTIVE","58","04/25/2014","03/31/2025","FACULTY CLUB OF THE UNIVERSITY OF CALIFORNIA","UC BERKELEY, ONE FACULTY CLUB 6050,BERKELEY, CA  94720-0001Census Tract:  4226.00","FACULTY CLUB AT UC BERKELEY","0103"
"542614","ACTIVE","41","10/20/2014","09/30/2024","J & J FOOD SPECIALTIES INC","1400 SHATTUCK AVE, SPACE 1,BERKELEY, CA  94709-1411Census Tract:  4217.00","KAMADO SUSHI","0103"
"543065","ACTIVE","47","07/09/2014","06/30/2024","WEST BERKELEY CENTER PARTNERS LLC","2512 SAN PABLO AVE,BERKELEY, CA  94702-2013Census Tract:  4220.00","LONGBRANCH","0103"
"543282","ACTIVE","86","05/27/2014","04/30/2025","FUTURE BEVERAGE INC","3185 COLLEGE AVE,BERKELEY, CA  94705-2755Census Tract:  4238.00","CASK ON COLLEGE","0103"
"543282","ACTIVE","42","05/27/2014","04/30/2025","FUTURE BEVERAGE INC","3185 COLLEGE AVE,BERKELEY, CA  94705-2755Census Tract:  4238.00","CASK ON COLLEGE","0103"
"543282","ACTIVE","21","05/27/2014","04/30/2025","FUTURE BEVERAGE INC","3185 COLLEGE AVE,BERKELEY, CA  94705-2755Census Tract:  4238.00","CASK ON COLLEGE","0103"
"544297","ACTIVE","21","10/27/2014","03/31/2025","WHOLE FOODS MARKET CALIFORNIA INC","1025 GILMAN ST,BERKELEY, CA  94710-1515Census Tract:  4220.00","WHOLE FOODS MARKET","0103"
"544297","ACTIVE","86","10/27/2014","09/30/2024","WHOLE FOODS MARKET CALIFORNIA INC","1025 GILMAN ST,BERKELEY, CA  94710-1515Census Tract:  4220.00","WHOLE FOODS MARKET","0103"
"544297","ACTIVE","41","10/27/2014","09/30/2024","WHOLE FOODS MARKET CALIFORNIA INC","1025 GILMAN ST,BERKELEY, CA  94710-1515Census Tract:  4220.00","WHOLE FOODS MARKET","0103"
"545001","ACTIVE","41","06/24/2014","05/31/2024","HOANG, DAVID MINH","2429 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","KING DONG RESTAURANT","0103"
"546775","ACTIVE","20","09/15/2014","08/31/2024","FRANKLIN BROS MARKET LLC","901 BANCROFT WY,BERKELEY, CA  94710Census Tract:  4232.00","FRANKLIN BROS MARKET LLC","0103"
"547355","ACTIVE","41","09/24/2014","08/31/2024","IMM AIM INC","2068 UNIVERSITY AVE,BERKELEY, CA  94704-1006Census Tract:  4229.02","IMM THAI","0103"
"547813","ACTIVE","41","11/07/2014","10/31/2024","CHENGDU STYLE RESTAURANT INC","2600 BANCROFT WAY, STE A,BERKELEY, CA  94704Census Tract:  4228.00","CHENGDU STYLE INC","0103"
"548913","ACTIVE","47","11/03/2016","10/31/2024","LIQUID ENTERTAINMENT GROUP, LLC","2367 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","CORNERSTONE","0103"
"548913","ACTIVE","77","11/03/2016","10/31/2024","LIQUID ENTERTAINMENT GROUP, LLC","2367 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","CORNERSTONE","0103"
"551079","ACTIVE","41","12/18/2014","11/30/2024","FUKUDA, TAMIKO","2428 TELEGRAPH AVE,BERKELEY, CA  94704-2321Census Tract:  4228.00","MURACCI'S 3","0103"
"552255","ACTIVE","41","01/14/2015","10/31/2024","PASUPATINATH INC.","2598 TELEGRAPH AVE,BERKELEY, CA  94704-2920Census Tract:  4236.02","MOUNT EVEREST RESTAURANT","0103"
"552258","ACTIVE","41","04/15/2015","03/31/2025","LOS CILANTROS LLC","3105 SHATTUCK AVE,BERKELEY, CA  94705-1822Census Tract:  4005.00","","0103"
"553736","ACTIVE","47","03/27/2015","02/28/2025","EUREKA RESTAURANT GROUP, LLC","2068 CENTER ST,BERKELEY, CA  94704-1205Census Tract:  4229.02","EUREKA!","0103"
"554980","ACTIVE","41","07/25/2018","06/30/2024","LPMD LLC","3121 SACRAMENTO ST,BERKELEY, CA  94702-2723Census Tract:  4240.01","CREEKWOOD RESTAURANT","0103"
"555873","ACTIVE","41","07/27/2015","06/30/2025","MONTEROS CAFE","1255 UNIVERSITY AVE ,BERKELEY, CA  94702-1724Census Tract:  4222.00","LA MISSION MEXICAN GRILL","0103"
"555892","ACTIVE","41","09/03/2015","08/31/2024","MONTEROS CAFE","1803-1805 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4222.00","CASA LATINA BAKERY","0103"
"556377","ACTIVE","41","09/21/2015","08/31/2024","A & K SIDHU INC","1610 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4221.00","MOUNTAIN MIKES PIZZA","0103"
"556487","ACTIVE","48","06/10/2016","04/30/2025","SEIDMAN, JENNIFER LEE","2115 SAN PABLO AVE,BERKELEY, CA  94702-1827Census Tract:  4231.00","ACME BAR","0103"
"557113","ACTIVE","20","12/23/2015","11/30/2024","KERMIT LYNCH WINE MERCHANT","1501 4TH ST,BERKELEY, CA  94710-1706Census Tract:  4220.00","KERMIT LYNCH WINE MERCHANT","0103"
"557132","ACTIVE","20","12/23/2015","11/30/2024","KERMIT LYNCH WINE MERCHANT","830 CEDAR ST,BERKELEY, CA  94710Census Tract:  4220.00","KERMIT LYNCH WINE MERCHANT","0103"
"557386","ACTIVE","41","08/19/2015","07/31/2024","MODERN COFFEE ENTERPRISES INCORPORATED","2049 SAN PABLO AVE,BERKELEY, CA  94702-1613Census Tract:  4231.00","HIGHWIRE COFFEE ROASTERS","0103"
"560345","ACTIVE","41","10/07/2015","09/30/2024","ROHITA, LLC","1736 SOLANO AVE,BERKELEY, CA  94707-2215Census Tract:  4213.00","SWEET BASIL THAI","0103"
"560712","ACTIVE","41","12/01/2015","11/30/2024","S & T AJANTA INC","1888 SOLANO AVE,BERKELEY, CA  94707-2309Census Tract:  4213.00","AJANTA","0103"
"563039","ACTIVE","41","06/10/2016","05/31/2025","TRIPLE RIVER INTERNATIONAL, INC.","2235 MILVIA ST,BERKELEY, CA  94704Census Tract:  4229.02","SUSHINISTA","0103"
"564265","ACTIVE","41","03/10/2016","02/28/2025","JOHNSON & FRENCH, INC.","1900 SHATTUCK AVE,BERKELEY, CA  94704-1022Census Tract:  4224.00","BERKELEY ESPRESSO","0103"
"566904","ACTIVE","41","05/12/2016","04/30/2025","KANCHANJANGA INC","1645 SOLANO AVE,BERKELEY, CA  94707-2108Census Tract:  4213.00","HIMALAYAN TANDOORI & CURRY HOUSE","0103"
"569189","ACTIVE","41","01/03/2017","12/31/2024","JINGLEBELLS LLC","2528 DURANT AVE B,BERKELEY, CA  94704Census Tract:  4228.00","TACO BELL CANTINA","0103"
"569645","ACTIVE","41","08/25/2016","07/31/2024","YELIJIN KIMCHI GARDEN,INC","2517 DURANT AVE, STE B,BERKELEY, CA  94704-1762Census Tract:  4228.00","KIMCHI GARDEN","0103"
"572630","ACTIVE","41","12/15/2016","11/30/2024","PIZZA BOTANICA, LLC","2708 RUSSELL ST,BERKELEY, CA  94705-2318Census Tract:  4001.00","NABOLOM BAKERY & PIZZERIA","0103"
"572878","ACTIVE","41","10/27/2016","09/30/2024","A BAGELS, INC.","2501 SAN PABLO AVE,BERKELEY, CA  94702-2012Census Tract:  4233.00","LE PHO","0103"
"572897","ACTIVE","47","05/22/2018","02/28/2025","AGGARWAL, DEEPAK","2134 OXFORD ST,BERKELEY, CA  94704-1311Census Tract:  9821.00","EAST BAY SPICE CO.","0103"
"573476","ACTIVE","58","03/02/2017","02/28/2025","NONNO GINO, CORP.","1730 SHATTUCK AVE,BERKELEY, CA  94709-1720Census Tract:  4224.00","AGRO DOLCE","0103"
"573476","ACTIVE","47","03/02/2017","02/28/2025","NONNO GINO, CORP.","1730 SHATTUCK AVE,BERKELEY, CA  94709-1720Census Tract:  4224.00","AGRO DOLCE","0103"
"575136","ACTIVE","47","12/02/2016","01/31/2025","SEIDMAN, JENNIFER LEE","984 UNIVERSITY AVE,BERKELEY, CA  94710-2046Census Tract:  4232.00","DOC'S REFRESHER","0103"
"575465","ACTIVE","41","05/18/2017","04/30/2025","IPPUDO CA LLC","2015 SHATTUCK AVE,BERKELEY, CA  94704-1116Census Tract:  4229.02","IPPUDO","0103"
"575807","ACTIVE","41","04/24/2017","03/31/2025","ENT, GREGORY WILLIAM","2438 TELEGRAPH AVE,BERKELEY, CA  94704-2321Census Tract:  4228.00","RALEIGH'S","0103"
"575812","ACTIVE","41","04/24/2017","03/31/2025","ENT, GREGORY WILLIAM","2442 TELEGRAPH AVE,BERKELEY, CA  94704-2321Census Tract:  4228.00","MEZZO","0103"
"576173","ACTIVE","21","06/08/2017","05/31/2024","KORIN, NASSER","3400 ADELINE ST,BERKELEY, CA  94703Census Tract:  4240.01","STANFORD LIQUORS","0103"
"576220","ACTIVE","41","12/29/2016","11/30/2024","SINGH, GURNAM","1543 SHATTUCK AVE,BERKELEY, CA  94709-1570Census Tract:  4217.00","JOTMAHAL PALACE OF INDIAN CUISINE","0103"
"577136","ACTIVE","86","03/02/2017","06/30/2025","SAFEWAY INC","1850 SOLANO AVE,BERKELEY, CA  94707Census Tract:  4213.00","ANDRONICO'S COMMUNITY MARKET #2451","0103"
"577136","ACTIVE","21","03/02/2017","06/30/2025","SAFEWAY INC","1850 SOLANO AVE,BERKELEY, CA  94707Census Tract:  4213.00","ANDRONICO'S COMMUNITY MARKET #2451","0103"
"577141","ACTIVE","86","03/02/2017","06/30/2025","SAFEWAY INC","1550 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","ANDRONICO'S COMMUNITY MARKET #2453","0103"
"577141","ACTIVE","21","03/02/2017","06/30/2025","SAFEWAY INC","1550 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","ANDRONICO'S COMMUNITY MARKET #2453","0103"
"578287","ACTIVE","41","06/14/2017","05/31/2025","PRIMA DONNA HOTELS, INC.","1538 SHATTUCK AVE,BERKELEY, CA  94709-1517Census Tract:  4217.00","SENS HOTEL & BISTRO BERKELEY","0103"
"578748","ACTIVE","20","05/10/2017","04/30/2025","GAWBAH, FADHL MOHAMED","2700 MARTIN LUTHER KING JR WY,BERKELEY, CA  94703-2110Census Tract:  4234.00","CITY LEES MARKET","0103"
"579490","ACTIVE","41","08/23/2018","07/31/2025","2355 TELEGRAPH AVE, LLC","2355 TELEGRAPH AVE,BERKELEY, CA  94704-1615Census Tract:  4228.00","SUPER DUPER","0103"
"579812","ACTIVE","41","04/21/2017","03/31/2025","S.R.S.INDIAN CUISINE INC","1903 UNIVERSITY AVE,BERKELEY, CA  94704-1023Census Tract:  4224.00","UDUPI PALACE","0103"
"580353","ACTIVE","20","05/19/2020","04/30/2025","SALKHI PETROLEUM INC.","2996 TELEGRAPH AVE,BERKELEY, CA  94705-2031Census Tract:  4236.01","","0103"
"580471","ACTIVE","42","05/19/2017","02/28/2025","HOI POLLOI BREWING","1763 ALCATRAZ AVE,BERKELEY, CA  94703Census Tract:  4007.00","HOI POLLOI BREWING","0103"
"581451","ACTIVE","41","11/13/2017","10/31/2024","CHIPOTLE MEXICAN GRILL INC","2225 SHATTUCK AVE,BERKELEY, CA  94704-1415Census Tract:  4229.02","CHIPOTLE MEXICAN GRILL STORE #: 2703","0103"
"581749","ACTIVE","47","08/09/2017","07/31/2025","SPIGA II, LLC","2635 ASHBY AVE,BERKELEY, CA  94705-2229Census Tract:  4239.02","DONATO & CO.","0103"
"582008","SUREND","47","06/28/2018","05/31/2025","GREAT NXPECTATIONS, LLC","2420 SHATTUCK AVE,BERKELEY, CA  94704-2023Census Tract:  4229.01","GIO'S PIZZA & BOCCE","0103"
"582247","ACTIVE","41","08/08/2017","07/31/2025","HUYNH, HENRY","1428 SAN PABLO AVE,BERKELEY, CA  94702-1024Census Tract:  4221.00","SUPER SUPER RESTAURANT","0103"
"582309","ACTIVE","41","08/11/2017","07/31/2024","LIN, JULIE SUE JIAN","2505 HEARST AVE, STE C,BERKELEY, CA  94709Census Tract:  4225.00","AKI'S","0103"
"582465","ACTIVE","41","09/14/2017","08/31/2024","S & S BREW, LLC","2120 DWIGHT WAY,BERKELEY, CA  94704-2015Census Tract:  4235.00","","0103"
"582893","ACTIVE","77","02/22/2018","01/31/2025","GRADUATE BERKELEY BEVERAGE LLC","2600 DURANT AVE,BERKELEY, CA  94704-1711Census Tract:  4228.00","GRADUATE BERKELEY","0103"
"582893","ACTIVE","66","02/22/2018","01/31/2025","GRADUATE BERKELEY BEVERAGE LLC","2600 DURANT AVE,BERKELEY, CA  94704-1711Census Tract:  4228.00","GRADUATE BERKELEY","0103"
"582893","ACTIVE","47","02/22/2018","01/31/2025","GRADUATE BERKELEY BEVERAGE LLC","2600 DURANT AVE,BERKELEY, CA  94704-1711Census Tract:  4228.00","GRADUATE BERKELEY","0103"
"582893","ACTIVE","68","02/22/2018","01/31/2025","GRADUATE BERKELEY BEVERAGE LLC","2600 DURANT AVE,BERKELEY, CA  94704-1711Census Tract:  4228.00","GRADUATE BERKELEY","0103"
"583015","ACTIVE","41","11/08/2017","10/31/2024","HOU TE FU INC","1699 SOLANO AVE,BERKELEY, CA  94707-2108Census Tract:  4213.00","SICHUAN STYLE RESTAURANT","0103"
"584110","ACTIVE","41","10/05/2017","09/30/2024","HASHTAG POKI, LLC","3075 TELEGRAPH AVE,BERKELEY, CA  94705-2035Census Tract:  4239.02","HASHTAG POKI, LLC","0103"
"584399","ACTIVE","41","11/27/2017","10/31/2024","JALALI, AGHAGOL","2565 TELEGRAPH AVE,BERKELEY, CA  94704-2917Census Tract:  4236.02","PASTA BENE","0103"
"586085","ACTIVE","47","03/26/2018","02/28/2025","ABJS FINE DINING, INC.","2050 UNIVERSITY AVE,BERKELEY, CA  94704-1006Census Tract:  4229.02","BERKELEY SOCIAL CLUB","0103"
"587221","ACTIVE","47","04/04/2018","03/31/2025","ES VERDAD LLC","2024 SHATTUCK AVE,BERKELEY, CA  94704-1117Census Tract:  4217.00","COMAL NEXT DOOR","0103"
"587501","ACTIVE","21","12/19/2019","11/30/2024","TARGET CORPORATION","1414 UNIVERSITY AVE,BERKELEY, CA  94702-1548Census Tract:  4231.00","TARGET T3267","0103"
"587571","ACTIVE","47","12/06/2017","11/30/2024","BERKELEY BOOT LLC","2284-2286 SHATTUCK AVE,BERKELEY, CA  94704-1431Census Tract:  4229.00","WESTERN PACIFIC","0103"
"588311","ACTIVE","41","03/23/2018","02/28/2025","FONO LLC","1313 9TH ST, STE 120,BERKELEY, CA  94710-1502Census Tract:  4220.00","FUNKY ELEPHANT","0103"
"588497","ACTIVE","20","01/14/2019","12/31/2024","BABY GRAPE LLC","800 UNIVERSITY AVE,BERKELEY, CA  94710-2021Census Tract:  4232.00","WINE SO CRU","0103"
"588497","ACTIVE","42","01/14/2019","12/31/2024","BABY GRAPE LLC","800 UNIVERSITY AVE,BERKELEY, CA  94710-2021Census Tract:  4232.00","WINE SO CRU","0103"
"589056","ACTIVE","41","02/01/2018","01/31/2025","STRADAVARIUS INC","2220 PIEDMONT AVE,BERKELEY, CA  94720-2171Census Tract:  9821.00","CAFE THINK","0103"
"589661","ACTIVE","41","05/08/2018","07/31/2024","PIADINA ORIGINAL MARINA LLC","2905 COLLEGE AVE,BERKELEY, CA  94705-2203Census Tract:  4001.00","ITALIAN HOMEMADE COMPANY THE","0103"
"590912","SUREND","58","05/17/2018","04/30/2025","OSBERT LLC","2367 TELEGRAPH AVE,BERKELEY, CA  94704-1615Census Tract:  4228.00","PAPPY'S GRILL","0103"
"590912","SUREND","47","05/17/2018","04/30/2025","OSBERT LLC","2367 TELEGRAPH AVE,BERKELEY, CA  94704-1615Census Tract:  4228.00","PAPPY'S GRILL","0103"
"591052","ACTIVE","41","03/19/2018","10/31/2024","MOAVEN, SEAMAK","2984 RUSSELL ST,BERKELEY, CA  94705-2334Census Tract:  4237.00","STATION THE","0103"
"591232","ACTIVE","41","09/09/2019","08/31/2024","CHI, JACQUELINE","2047 UNIVERSITY AVE,BERKELEY, CA  94704-1005Census Tract:  4224.00","NASH CAFE","0103"
"591831","ACTIVE","41","08/02/2018","07/31/2024","ELEFTHERIADIS, ATHANASIOS","2521 HEARST AVE, ETCHEVERRY HALL #3102 @UC BERKELEY,BERKELEY, CA  94709Census Tract:  9821.00","V & A CAFE","0103"
"591937","ACTIVE","41","05/18/2018","04/30/2025","KIKU JAPANESE CUISINE LLC","1316 GILMAN ST,BERKELEY, CA  94706-2432Census Tract:  4219.00","KIKU SUSHI","0103"
"592264","ACTIVE","41","05/29/2018","10/31/2024","BKK THAI CUISINE","1459 UNIVERSITY AVE,BERKELEY, CA  94702-1508Census Tract:  4222.00","BANGKOK THAI CUISINE","0103"
"593370","ACTIVE","41","06/11/2018","05/31/2025","THRIVE, LLC","1954 UNIVERSITY AVE,BERKELEY, CA  94704-1024Census Tract:  4229.02","BUTCHER'S SON, THE","0103"
"593627","ACTIVE","20","10/30/2018","07/31/2025","GURU ANGAD DEV JI, INC.","1601 CALIFORNIA ST,BERKELEY, CA  94703-1203Census Tract:  4223.00","NEW CEDAR MARKET","0103"
"593888","ACTIVE","41","09/03/2019","08/31/2024","CHAI THAI ENTERPRISES LLC","3015 SAN PABLO AVE,BERKELEY, CA  94702Census Tract:  4008.00","","0103"
"594216","ACTIVE","47","06/27/2018","05/31/2025","TACUBAYA LLC","1782 4TH ST,BERKELEY, CA  94710Census Tract:  4220.00","TACUBAYA","0103"
"594509","ACTIVE","41","09/12/2018","08/31/2024","GINOKIMURA COMPANY LLC","2173 ALLSTON WAY,BERKELEY, CA  94704-1301Census Tract:  4229.02","SUMO ROLL","0103"
"594537","ACTIVE","41","09/21/2018","08/31/2024","TASTY WRAP, INC.","2124 CENTER ST,BERKELEY, CA  94704-1309Census Tract:  4229.02","BAG O' CRAB","0103"
"596358","ACTIVE","41","10/25/2018","09/30/2024","PYEONG CHANG TOFU","1267-1271 UNIVERSITY AVE,BERKELEY, CA  94702Census Tract:  4222.00","PYEONG CHANG TOFU","0103"
"596479","ACTIVE","77","11/06/2018","10/31/2024","SRO, LLC","1974 SHATTUCK AVE,BERKELEY, CA  94704-1032Census Tract:  4224.00","SPATS/SHATTUCK AVENUE SPATS","0103"
"596479","ACTIVE","47","11/06/2018","10/31/2024","SRO, LLC","1974 SHATTUCK AVE,BERKELEY, CA  94704-1032Census Tract:  4224.00","SPATS/SHATTUCK AVENUE SPATS","0103"
"596579","ACTIVE","20","01/23/2019","12/31/2024","IDLE CELLARS LLC","85 MENLO PL,BERKELEY, CA  94707-1532Census Tract:  4213.00","IDLE CELLARS LLC","0103"
"597523","ACTIVE","41","12/24/2018","11/30/2024","MAD SEOUL LLC","1801 SHATTUCK AVE, STE C,BERKELEY, CA  94709-1872Census Tract:  4224.00","MAD SEOUL","0103"
"597527","ACTIVE","47","04/02/2019","03/31/2025","RISE FOODS LLC","2016 SHATTUCK AVE,BERKELEY, CA  94704-1117Census Tract:  4217.00","","0103"
"597742","ACTIVE","41","11/01/2018","10/31/2024","IJO IZAKAYA LLC","1463 SHATTUCK AVE,BERKELEY, CA  94709-1410Census Tract:  4217.00","IJO IZAKAYA","0103"
"597900","ACTIVE","47","10/24/2018","09/30/2024","BERKELEY BETA LLC.","2129 DURANT AVE,BERKELEY, CA  94704Census Tract:  4229.01","BETA LOUNGE","0103"
"598784","ACTIVE","47","04/13/2019","03/31/2025","LEMAT ETHIOPIAN RESTAURANT & CAFÉ, LLC","3212 ADELINE ST,BERKELEY, CA  94703-2407Census Tract:  4007.00","LEMAT ETHIOPIAN RESTAURANT AND CAFE, LLC","0103"
"599458","ACTIVE","20","11/30/2018","07/31/2024","WINE NOIRE LLC, THE","2001 ADDISON ST, #300,BERKELEY, CA  94704-1165Census Tract:  4229.02","WINE NOIRE LLC, THE","0103"
"600635","ACTIVE","41","01/10/2019","12/31/2024","2900 COLLEGE AVE. CAFFE LLC","2900 COLLEGE AVE,BERKELEY, CA  94705-2204Census Tract:  4236.01","BAKER & COMMONS","0103"
"601277","ACTIVE","41","04/23/2020","03/31/2025","PASSIONE EMPORIO 94710, LLC","2324A 5TH ST,BERKELEY, CA  94710Census Tract:  4220.00","PASSIONE EMPORIO","0103"
"601752","ACTIVE","41","01/24/2019","12/31/2024","LONG LIFE VEGI ENTERPRISES, INC.","1725 UNIVERSITY AVE,BERKELEY, CA  94703-1513Census Tract:  4223.00","LONG LIFE VEGI HOUSE","0103"
"602044","ACTIVE","20","02/04/2019","08/31/2024","ONDA WINE, LLC","1219 KAINS AVE,BERKELEY, CA  94706-2211Census Tract:  4219.00","ONDA WINE","0103"
"602436","ACTIVE","20","05/29/2019","01/31/2025","FARM WINE IMPORTS LLC","1332 4TH ST, STUDIO M,BERKELEY, CA  94710Census Tract:  4220.00","FARM WINE IMPORTS","0103"
"602891","ACTIVE","41","03/27/2019","02/28/2025","MCGEE, ANDREW JOHN","913 UNIVERSITY AVE,BERKELEY, CA  94710-2022Census Tract:  4221.00","THAI TABLE","0103"
"603518","ACTIVE","47","06/24/2020","05/31/2025","YOONACO INC.","235 UNIVERSITY AVE,BERKELEY, CA  94710-1618Census Tract:  4220.00","HANA JAPAN","0103"
"605188","ACTIVE","41","05/23/2019","04/30/2025","NIKKO SUSHI LLC","2399 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","NIKKO SUSHI","0103"
"605367","ACTIVE","41","06/07/2019","05/31/2025","LUAN, HONG","1301 SAN PABLO AVE,BERKELEY, CA  94702-1021Census Tract:  4219.00","PHO LE","0103"
"605542","ACTIVE","47","06/21/2019","11/30/2024","FLYING DUCK INC","2516-B & 2518-C DURANT AVE,BERKELEY, CA  94704-1715Census Tract:  4228.00","TAP HAUS, THE","0103"
"605644","ACTIVE","41","06/17/2019","05/31/2025","SK GOURMET FOODS LLC","2944 COLLEGE AVE,BERKELEY, CA  94705-2204Census Tract:  4236.01","SUMMER KITCHEN BAKE SHOP","0103"
"605716","ACTIVE","41","07/08/2019","06/30/2025","LENG, PAOLAY","3250 ADELINE ST,BERKELEY, CA  94703Census Tract:  4005.00","VAULT CAFE THE","0103"
"606293","ACTIVE","20","08/15/2019","07/31/2025","NBI ACQUISITION LLC","1005 CAMELIA ST,BERKELEY, CA  94710-1521Census Tract:  4220.00","NORTH BERKELEY IMPORTS","0103"
"606347","ACTIVE","47","09/03/2019","08/31/2024","EASTERLY-BERKELEY CORPORATION","2142 CENTER ST,BERKELEY, CA  94704-1304Census Tract:  4229.02","EASTERLY","0103"
"606776","ACTIVE","41","11/27/2019","10/31/2024","PACIFICA LLC","2517 DURANT AVE, STE C,BERKELEY, CA  94704-1762Census Tract:  4228.00","PACIFICA LLC CAFE DURANT","0103"
"606827","ACTIVE","41","08/20/2019","07/31/2024","AMT TECH, INC.","2152 CENTER ST,BERKELEY, CA  94704-1304Census Tract:  4229.02","MOE SUSHI AND GRILL","0103"
"606920","ACTIVE","41","08/20/2019","07/31/2025","CAFENATED COFFEE COMPANY","2085 VINE ST,BERKELEY, CA  94709-2033Census Tract:  4217.00","CAFENATED","0103"
"607013","ACTIVE","47","10/11/2019","09/30/2024","SHERPA & GURUNG LLC","1290 SIXTH ST,BERKELEY, CA  94710-1402Census Tract:  4220.00","LAMA BEANS","0103"
"607029","ACTIVE","47","10/09/2019","09/30/2024","FISH & BIRD SOUSAKU IZAKAYA, INC.","2451 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4229.01","FISH & BIRD SOUSAKU IZAKAYA, INC.","0103"
"607105","ACTIVE","21","08/23/2019","07/31/2025","DYNASTY ENTERPRISES, INC","1265 UNIVERSITY AVE,BERKELEY, CA  94702-1724Census Tract:  4222.00","MARINA LIQUOR","0103"
"607133","ACTIVE","47","10/30/2020","09/30/2024","TIGERLILLY LLC","1513 SHATTUCK AVE,BERKELEY, CA  94709-1569Census Tract:  4217.00","TIGERLILY","0103"
"608790","ACTIVE","41","10/14/2019","06/30/2025","SINGH, SUKHDEV","2449 SACRAMENTO ST,BERKELEY, CA  94702Census Tract:  4230.00","MEHAK INDIAN CUISINE","0103"
"608802","ACTIVE","20","02/03/2021","04/30/2025","NBI ACQUISITION LLC","1505 SHATTUCK AVE,BERKELEY, CA  94709Census Tract:  4217.00","NORTH BERKELEY IMPORTS","0103"
"609190","ACTIVE","58","11/07/2019","10/31/2024","SLIVER'S, LLC","2174 SHATTUCK AVE,BERKELEY, CA  94704-1307Census Tract:  4229.02","SLIVER PIZZERIA","0103"
"609190","ACTIVE","47","11/07/2019","10/31/2024","SLIVER'S, LLC","2174 SHATTUCK AVE,BERKELEY, CA  94704-1307Census Tract:  4229.02","SLIVER PIZZERIA","0103"
"609264","ACTIVE","21","02/24/2020","01/31/2025","NEIGHBORHOOD MART INC","2707 COLLEGE AVE,BERKELEY, CA  94705-1213Census Tract:  4001.00","DERBY FOOD CENTER","0103"
"609315","ACTIVE","47","11/15/2019","10/31/2024","SLIVER'S, LLC","2468 TELEGRAPH AVE,BERKELEY, CA  94704-2322Census Tract:  4228.00","SLIVER PIZZERIA","0103"
"609315","ACTIVE","58","11/15/2019","10/31/2024","SLIVER'S, LLC","2468 TELEGRAPH AVE,BERKELEY, CA  94704-2322Census Tract:  4228.00","SLIVER PIZZERIA","0103"
"609430","ACTIVE","20","10/11/2019","09/30/2024","PRIVACY GLASS BEVERAGE, INC.","1631 LA VEREDA RD , # 4,BERKELEY, CA  94709Census Tract:  9821.00","TRANSPARENT WINE COMPANY","0103"
"609531","ACTIVE","41","12/18/2019","11/30/2024","HEIDI AND MIA CORP.","2504 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4235.00","SOUTHSIDE STATION","0103"
"609531","ACTIVE","58","12/18/2019","11/30/2024","HEIDI AND MIA CORP.","2504 SHATTUCK AVE,BERKELEY, CA  94704Census Tract:  4235.00","SOUTHSIDE STATION","0103"
"609757","ACTIVE","21","05/17/2021","04/30/2025","BERKELEY BOWL PRODUCE INC","920 HEINZ AVE,BERKELEY, CA  94710Census Tract:  4220.00","BERKELEY BOWL MARKETPLACE","0103"
"610113","ACTIVE","47","01/18/2024","12/31/2024","SUMMER & PO, INC.","1549 SHATTUCK AVE,BERKELEY, CA  94709-1516Census Tract:  4217.00","","0103"
"610715","ACTIVE","47","12/07/2021","11/30/2024","PYRAMID BERKELEY RI BEVERAGE L.P.","2129 SHATTUCK AVE,BERKELEY, CA  94704-1208Census Tract:  4229.00","RESIDENCE INN BERKELEY","0103"
